A,B,Suma,Resta,Multiplicacion,Division
0,0,0,0,0,0.0
0,1,1,-1,0,0.0
0,2,2,-2,0,0.0
0,3,3,-3,0,0.0
0,4,4,-4,0,0.0
0,5,5,-5,0,0.0
0,6,6,-6,0,0.0
0,7,7,-7,0,0.0
0,8,8,-8,0,0.0
0,9,9,-9,0,0.0
1,0,1,1,0,0.0
1,1,2,0,1,1.0
1,2,3,-1,2,0.5
1,3,4,-2,3,0.3333333333333333
1,4,5,-3,4,0.25
1,5,6,-4,5,0.2
1,6,7,-5,6,0.16666666666666666
1,7,8,-6,7,0.14285714285714285
1,8,9,-7,8,0.125
1,9,10,-8,9,0.1111111111111111
2,0,2,2,0,0.0
2,1,3,1,2,2.0
2,2,4,0,4,1.0
2,3,5,-1,6,0.6666666666666666
2,4,6,-2,8,0.5
2,5,7,-3,10,0.4
2,6,8,-4,12,0.3333333333333333
2,7,9,-5,14,0.2857142857142857
2,8,10,-6,16,0.25
2,9,11,-7,18,0.2222222222222222
3,0,3,3,0,0.0
3,1,4,2,3,3.0
3,2,5,1,6,1.5
3,3,6,0,9,1.0
3,4,7,-1,12,0.75
3,5,8,-2,15,0.6
3,6,9,-3,18,0.5
3,7,10,-4,21,0.42857142857142855
3,8,11,-5,24,0.375
3,9,12,-6,27,0.3333333333333333
4,0,4,4,0,0.0
4,1,5,3,4,4.0
4,2,6,2,8,2.0
4,3,7,1,12,1.3333333333333333
4,4,8,0,16,1.0
4,5,9,-1,20,0.8
4,6,10,-2,24,0.6666666666666666
4,7,11,-3,28,0.5714285714285714
4,8,12,-4,32,0.5
4,9,13,-5,36,0.4444444444444444
5,0,5,5,0,0.0
5,1,6,4,5,5.0
5,2,7,3,10,2.5
5,3,8,2,15,1.6666666666666667
5,4,9,1,20,1.25
5,5,10,0,25,1.0
5,6,11,-1,30,0.8333333333333334
5,7,12,-2,35,0.7142857142857143
5,8,13,-3,40,0.625
5,9,14,-4,45,0.5555555555555556
6,0,6,6,0,0.0
6,1,7,5,6,6.0
6,2,8,4,12,3.0
6,3,9,3,18,2.0
6,4,10,2,24,1.5
6,5,11,1,30,1.2
6,6,12,0,36,1.0
6,7,13,-1,42,0.8571428571428571
6,8,14,-2,48,0.75
6,9,15,-3,54,0.6666666666666666
7,0,7,7,0,0.0
7,1,8,6,7,7.0
7,2,9,5,14,3.5
7,3,10,4,21,2.3333333333333335
7,4,11,3,28,1.75
7,5,12,2,35,1.4
7,6,13,1,42,1.1666666666666667
7,7,14,0,49,1.0
7,8,15,-1,56,0.875
7,9,16,-2,63,0.7777777777777778
8,0,8,8,0,0.0
8,1,9,7,8,8.0
8,2,10,6,16,4.0
8,3,11,5,24,2.6666666666666665
8,4,12,4,32,2.0
8,5,13,3,40,1.6
8,6,14,2,48,1.3333333333333333
8,7,15,1,56,1.1428571428571428
8,8,16,0,64,1.0
8,9,17,-1,72,0.8888888888888888
9,0,9,9,0,0.0
9,1,10,8,9,9.0
9,2,11,7,18,4.5
9,3,12,6,27,3.0
9,4,13,5,36,2.25
9,5,14,4,45,1.8
9,6,15,3,54,1.5
9,7,16,2,63,1.2857142857142858
9,8,17,1,72,1.125
9,9,18,0,81,1.0
